session,topology,N,density,strain_length,stress_area,eps_max,excluded,W_eps0.1,SEA_eps0.1,W_eps0.25,SEA_eps0.25,W_eps0.5,SEA_eps0.5
NS3_baseline,Truncated_Octoctahedron,3,0.298663,15,225,0.599513,False,0.36537,1.22335,1.23082,4.12111,3.05789,10.2386
NS4,Truncated_Octoctahedron,4,0.304194,20,400,0.59998,False,0.391454,1.28686,1.31739,4.33076,3.25133,10.6884
NS3_baseline,Truncated_Octoctahedron,4,0.298662,20,400,0.600205,False,0.374253,1.2531,1.25594,4.20522,3.10778,10.4057
NS4,Truncated_Octoctahedron,5,0.304196,25,625,0.485604,False,0.397016,1.30514,1.33573,4.39102,,
NS4,WeairePhelan,1,0.452465,5,25,0.600184,False,0.974513,2.15379,3.33675,7.37461,8.38848,18.5395
NS3_baseline,WeairePhelan,1,0.440975,5,25,0.600244,False,0.845677,1.91774,2.96276,6.71866,7.53549,17.0882
NS4,WeairePhelan,2,0.452461,10,100,0.599226,False,0.993461,2.19568,3.42946,7.57957,8.71657,19.2648
NS3_baseline,WeairePhelan,2,0.440975,10,100,0.599996,False,0.881015,1.99788,3.19412,7.24332,8.25875,18.7284
NS4,WeairePhelan,3,0.452463,15,225,0.409721,False,1.00026,2.21071,3.45728,7.64102,,
NS3_baseline,WeairePhelan,3,0.440975,15,225,0.599621,False,0.887028,2.01152,3.22228,7.30716,8.31446,18.8547
NS4,WeairePhelan,4,0.452463,20,400,0.338852,False,1.00237,2.21537,3.46548,7.65914,,
NS3_baseline,WeairePhelan,4,0.440975,20,400,0.5749,False,0.890683,2.0198,3.23513,7.33632,8.31743,18.8615
NS4,WeairePhelan,5,0.452463,25,625,0.394187,False,1.004,2.21896,3.47455,7.67919,,
